matrix,mode,schedule,chunk_size,num_threads,90percentile
FEM_3D_thermal2.mtx,parallel,static,1000,8,0.001212
FEM_3D_thermal2.mtx,parallel,static,1000,16,0.000971
FEM_3D_thermal2.mtx,parallel,static,1000,32,0.001118
FEM_3D_thermal2.mtx,parallel,dynamic,1,1,0.007594
FEM_3D_thermal2.mtx,parallel,dynamic,1,2,0.012268
FEM_3D_thermal2.mtx,parallel,dynamic,1,4,0.023551
FEM_3D_thermal2.mtx,parallel,dynamic,1,8,0.026060
FEM_3D_thermal2.mtx,parallel,dynamic,1,16,0.021397
FEM_3D_thermal2.mtx,parallel,dynamic,1,32,0.018185
FEM_3D_thermal2.mtx,parallel,dynamic,10,1,0.004957
FEM_3D_thermal2.mtx,parallel,dynamic,10,2,0.005014
FEM_3D_thermal2.mtx,parallel,dynamic,10,4,0.004808
FEM_3D_thermal2.mtx,parallel,dynamic,10,8,0.003862
FEM_3D_thermal2.mtx,parallel,dynamic,10,16,0.003012
FEM_3D_thermal2.mtx,parallel,dynamic,10,32,0.002877
FEM_3D_thermal2.mtx,parallel,dynamic,100,1,0.004808
FEM_3D_thermal2.mtx,parallel,dynamic,100,2,0.002735
FEM_3D_thermal2.mtx,parallel,dynamic,100,4,0.001866
FEM_3D_thermal2.mtx,parallel,dynamic,100,8,0.001408
FEM_3D_thermal2.mtx,parallel,dynamic,100,16,0.001200
FEM_3D_thermal2.mtx,parallel,dynamic,100,32,0.001646
FEM_3D_thermal2.mtx,parallel,dynamic,1000,1,0.004798
FEM_3D_thermal2.mtx,parallel,dynamic,1000,2,0.002503
FEM_3D_thermal2.mtx,parallel,dynamic,1000,4,0.001543
FEM_3D_thermal2.mtx,parallel,dynamic,1000,8,0.001145
FEM_3D_thermal2.mtx,parallel,dynamic,1000,16,0.001037
FEM_3D_thermal2.mtx,parallel,dynamic,1000,32,0.002409
FEM_3D_thermal2.mtx,parallel,guided,1,1,0.004755
FEM_3D_thermal2.mtx,parallel,guided,1,2,0.002455
FEM_3D_thermal2.mtx,parallel,guided,1,4,0.001682
FEM_3D_thermal2.mtx,parallel,guided,1,8,0.001078
FEM_3D_thermal2.mtx,parallel,guided,1,16,0.001050
FEM_3D_thermal2.mtx,parallel,guided,1,32,0.001956
FEM_3D_thermal2.mtx,parallel,guided,10,1,0.004700
FEM_3D_thermal2.mtx,parallel,guided,10,2,0.002451
FEM_3D_thermal2.mtx,parallel,guided,10,4,0.001936
FEM_3D_thermal2.mtx,parallel,guided,10,8,0.001168
FEM_3D_thermal2.mtx,parallel,guided,10,16,0.001106
FEM_3D_thermal2.mtx,parallel,guided,10,32,0.002328
FEM_3D_thermal2.mtx,parallel,guided,100,1,0.004673
FEM_3D_thermal2.mtx,parallel,guided,100,2,0.002452
FEM_3D_thermal2.mtx,parallel,guided,100,4,0.001568
FEM_3D_thermal2.mtx,parallel,guided,100,8,0.001167
FEM_3D_thermal2.mtx,parallel,guided,100,16,0.001107
FEM_3D_thermal2.mtx,parallel,guided,100,32,0.001884
FEM_3D_thermal2.mtx,parallel,guided,1000,1,0.004776
FEM_3D_thermal2.mtx,parallel,guided,1000,2,0.002468
FEM_3D_thermal2.mtx,parallel,guided,1000,4,0.001492
FEM_3D_thermal2.mtx,parallel,guided,1000,8,0.001249
FEM_3D_thermal2.mtx,parallel,guided,1000,16,0.001121
FEM_3D_thermal2.mtx,parallel,guided,1000,32,0.001743
pdb1HYS.mtx,parallel,static,1,1,0.006107
pdb1HYS.mtx,parallel,static,1,2,0.004750
pdb1HYS.mtx,parallel,static,1,4,0.004041
pdb1HYS.mtx,parallel,static,1,8,0.003543
pdb1HYS.mtx,parallel,static,1,16,0.002103
pdb1HYS.mtx,parallel,static,1,32,0.001851
pdb1HYS.mtx,parallel,static,10,1,0.005982
pdb1HYS.mtx,parallel,static,10,2,0.003409
pdb1HYS.mtx,parallel,static,10,4,0.002339
pdb1HYS.mtx,parallel,static,10,8,0.001567
pdb1HYS.mtx,parallel,static,10,16,0.001316
pdb1HYS.mtx,parallel,static,10,32,0.001427
pdb1HYS.mtx,parallel,static,100,1,0.005908
pdb1HYS.mtx,parallel,static,100,2,0.003349
pdb1HYS.mtx,parallel,static,100,4,0.002126
pdb1HYS.mtx,parallel,static,100,8,0.001376
pdb1HYS.mtx,parallel,static,100,16,0.001248
pdb1HYS.mtx,parallel,static,100,32,0.001220
pdb1HYS.mtx,parallel,static,1000,1,0.005987
pdb1HYS.mtx,parallel,static,1000,2,0.003204
pdb1HYS.mtx,parallel,static,1000,4,0.002054
