matrix,mode,schedule,chunk_size,num_threads,run_number,l1_loads,l1_misses,l1_miss_rate_percent,llc_loads,llc_misses,llc_miss_rate_percent
pdb1HYS.mtx,parallel,static,1000,4,4,1641591537,5046801,0.3074,28608,12655,44.2359
pdb1HYS.mtx,parallel,static,1000,4,5,1641629493,5013180,0.3054,28202,12516,44.3798
pdb1HYS.mtx,parallel,static,1000,8,1,1642094120,5037971,0.3068,31675,14723,46.4815
pdb1HYS.mtx,parallel,static,1000,8,2,1643551399,5298204,0.3224,47100,25343,53.8068
pdb1HYS.mtx,parallel,static,1000,8,3,1642106267,5025783,0.3061,30708,13995,45.5744
pdb1HYS.mtx,parallel,static,1000,8,4,1642134681,4994487,0.3041,31422,15418,49.0675
pdb1HYS.mtx,parallel,static,1000,8,5,1641998895,5019777,0.3057,30969,15454,49.9015
pdb1HYS.mtx,parallel,static,1000,16,1,1643231744,5027564,0.3060,33559,15720,46.8429
pdb1HYS.mtx,parallel,static,1000,16,2,1642985359,5074016,0.3088,33682,15747,46.7520
pdb1HYS.mtx,parallel,static,1000,16,3,1643035967,5001204,0.3044,34359,15959,46.4478
pdb1HYS.mtx,parallel,static,1000,16,4,1643180169,4994491,0.3040,33503,15229,45.4556
pdb1HYS.mtx,parallel,static,1000,16,5,1643205222,5046214,0.3071,33596,15555,46.3002
pdb1HYS.mtx,parallel,static,1000,32,1,1652162295,5371991,0.3251,54618,27271,49.9304
pdb1HYS.mtx,parallel,static,1000,32,2,1652217475,5334309,0.3229,53074,25886,48.7734
pdb1HYS.mtx,parallel,static,1000,32,3,1652242438,5438756,0.3292,54769,26609,48.5841
pdb1HYS.mtx,parallel,static,1000,32,4,1652319334,5372588,0.3252,53087,26257,49.4603
pdb1HYS.mtx,parallel,static,1000,32,5,1646379952,5021032,0.3050,39214,17356,44.2597
pdb1HYS.mtx,parallel,dynamic,1,1,1,1641764119,5381919,0.3278,38974,18648,47.8473
pdb1HYS.mtx,parallel,dynamic,1,1,2,1641764122,5396230,0.3287,38998,18412,47.2127
pdb1HYS.mtx,parallel,dynamic,1,1,3,1641764125,5306808,0.3232,39323,18003,45.7824
pdb1HYS.mtx,parallel,dynamic,1,1,4,1641764124,5377172,0.3275,39200,18036,46.0102
pdb1HYS.mtx,parallel,dynamic,1,1,5,1641764124,5354490,0.3261,40278,18240,45.2853
pdb1HYS.mtx,parallel,dynamic,1,2,1,1642066681,5802274,0.3534,146678,23420,15.9669
pdb1HYS.mtx,parallel,dynamic,1,2,2,1641862191,5479852,0.3338,124654,13296,10.6663
pdb1HYS.mtx,parallel,dynamic,1,2,3,1642070250,5753761,0.3504,146351,22843,15.6084
pdb1HYS.mtx,parallel,dynamic,1,2,4,1641857876,5436550,0.3311,124186,13234,10.6566
pdb1HYS.mtx,parallel,dynamic,1,2,5,1642070589,5802581,0.3534,145769,22653,15.5403
pdb1HYS.mtx,parallel,dynamic,1,4,1,1642683137,5891772,0.3587,293996,180133,61.2706
pdb1HYS.mtx,parallel,dynamic,1,4,2,1642681221,5884228,0.3582,292274,179151,61.2956
pdb1HYS.mtx,parallel,dynamic,1,4,3,1642021176,5535142,0.3371,257150,162237,63.0904
pdb1HYS.mtx,parallel,dynamic,1,4,4,1642679991,5877722,0.3578,294649,181146,61.4786
pdb1HYS.mtx,parallel,dynamic,1,4,5,1642680278,5867131,0.3572,294503,180954,61.4439
pdb1HYS.mtx,parallel,dynamic,1,8,1,1642385217,5736995,0.3493,324937,245537,75.5645
pdb1HYS.mtx,parallel,dynamic,1,8,2,1643929636,6030870,0.3669,372365,279075,74.9466
pdb1HYS.mtx,parallel,dynamic,1,8,3,1643923590,5994318,0.3646,373565,279977,74.9473
pdb1HYS.mtx,parallel,dynamic,1,8,4,1643923439,6054871,0.3683,365390,265194,72.5783
pdb1HYS.mtx,parallel,dynamic,1,8,5,1643926226,6025564,0.3665,375796,282890,75.2775
pdb1HYS.mtx,parallel,dynamic,1,16,1,1643378836,5761978,0.3506,331723,219280,66.1033
pdb1HYS.mtx,parallel,dynamic,1,16,2,1646517052,6239120,0.3789,387701,255363,65.8660
pdb1HYS.mtx,parallel,dynamic,1,16,3,1643467308,5755112,0.3502,326995,216381,66.1726
